Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2002","2002","%","21.65","A","Official figure",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2003","2003","%","23.1","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2004","2004","%","24.55","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2005","2005","%","26.01","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2006","2006","%","27.34","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2007","2007","%","28.46","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2008","2008","%","28.05","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2009","2009","%","27.74","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2010","2010","%","30.1","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2011","2011","%","30.82","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2012","2012","%","31.76","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2013","2013","%","32.04","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2014","2014","%","32.23","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2015","2015","%","33.42","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2016","2016","%","33.68","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2017","2017","%","34.32","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2018","2018","%","34.66","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2019","2019","%","35.03","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2020","2020","%","35.63","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2021","2021","%","35.79","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6621","Arable land","2022","2022","%","36.26","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2002","2002","%","0.78","A","Official figure",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2003","2003","%","0.77","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2004","2004","%","0.77","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2005","2005","%","0.77","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2006","2006","%","0.77","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2007","2007","%","0.77","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2008","2008","%","0.79","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2009","2009","%","0.8","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2010","2010","%","0.79","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2011","2011","%","0.8","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2012","2012","%","0.8","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2013","2013","%","0.81","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2014","2014","%","0.83","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2015","2015","%","0.83","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2016","2016","%","0.84","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2017","2017","%","0.85","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2018","2018","%","0.92","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2019","2019","%","0.92","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2020","2020","%","0.91","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2021","2021","%","0.91","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6650","Permanent crops","2022","2022","%","0.9","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2002","2002","%","77.58","A","Official figure",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2002","2002","%","36.48","A","Official figure",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2003","2003","%","76.12","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2003","2003","%","35.91","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2004","2004","%","74.68","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2004","2004","%","35.34","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2005","2005","%","73.22","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2005","2005","%","34.76","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2006","2006","%","71.89","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2006","2006","%","34.19","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2007","2007","%","70.77","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2007","2007","%","33.61","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2008","2008","%","71.16","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2008","2008","%","33.04","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2009","2009","%","71.45","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2009","2009","%","32.46","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2010","2010","%","69.11","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2010","2010","%","31.89","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2011","2011","%","68.38","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2011","2011","%","31.31","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2012","2012","%","67.43","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2012","2012","%","30.74","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2013","2013","%","67.14","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2013","2013","%","30.16","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2014","2014","%","66.95","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2014","2014","%","29.59","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2015","2015","%","65.75","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2015","2015","%","29.01","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2016","2016","%","65.48","E","Estimated value",""
