Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2000,2000,1000 USD,11,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2001,2001,1000 USD,0,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2002,2002,1000 USD,128,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2003,2003,1000 USD,0,X,Figure from international organizations,Estimated data using trading partners database
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2004,2004,1000 USD,0,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2005,2005,1000 USD,1,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2006,2006,1000 USD,0,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2007,2007,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2008,2008,1000 USD,32,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2009,2009,1000 USD,0,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2010,2010,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2011,2011,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2012,2012,1000 USD,127,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2013,2013,1000 USD,258,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2014,2014,1000 USD,13,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2015,2015,1000 USD,465,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2016,2016,1000 USD,1120,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2017,2017,1000 USD,451,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,21422,"Almonds, shelled",2020,2020,1000 USD,61,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2000,2000,1000 USD,122,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2001,2001,1000 USD,449,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2002,2002,1000 USD,989,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2003,2003,1000 USD,592,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2004,2004,1000 USD,840,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2005,2005,1000 USD,1474,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2006,2006,1000 USD,2207,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2007,2007,1000 USD,2188,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2008,2008,1000 USD,1246,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2009,2009,1000 USD,3220,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2010,2010,1000 USD,37,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2011,2011,1000 USD,1563,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2012,2012,1000 USD,219,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2013,2013,1000 USD,486,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2014,2014,1000 USD,123,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2015,2015,1000 USD,217,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2016,2016,1000 USD,237,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1311,Avocados,2017,2017,1000 USD,30,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1312,Bananas,2000,2000,1000 USD,100,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1312,Bananas,2001,2001,1000 USD,331,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1312,Bananas,2002,2002,1000 USD,46,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1312,Bananas,2003,2003,1000 USD,0,X,Figure from international organizations,Estimated data using trading partners database
TCL,Crops and livestock products,32,Argentina,5922,Export value,1312,Bananas,2004,2004,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1312,Bananas,2005,2005,1000 USD,17,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1312,Bananas,2006,2006,1000 USD,41,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1312,Bananas,2007,2007,1000 USD,5,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1312,Bananas,2008,2008,1000 USD,12,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1312,Bananas,2009,2009,1000 USD,0,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1312,Bananas,2010,2010,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1312,Bananas,2011,2011,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1312,Bananas,2012,2012,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1312,Bananas,2013,2013,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2000,2000,1000 USD,12944,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2001,2001,1000 USD,8776,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2002,2002,1000 USD,9584,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2003,2003,1000 USD,9762,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2004,2004,1000 USD,4513,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2005,2005,1000 USD,3582,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2006,2006,1000 USD,6156,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2007,2007,1000 USD,6154,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2008,2008,1000 USD,17162,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2009,2009,1000 USD,7178,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2010,2010,1000 USD,7819,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2011,2011,1000 USD,18211,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2012,2012,1000 USD,18195,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2013,2013,1000 USD,11536,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2014,2014,1000 USD,10261,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2015,2015,1000 USD,11283,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2016,2016,1000 USD,7205,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2017,2017,1000 USD,7024,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2018,2018,1000 USD,8393,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2019,2019,1000 USD,24306,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2020,2020,1000 USD,24868,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2021,2021,1000 USD,24344,X,Figure from international organizations,Estimated data using trading partners database
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2022,2022,1000 USD,11610,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,39120.01,Bran of wheat,2023,2023,1000 USD,13271,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2000,2000,1000 USD,0,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2001,2001,1000 USD,2,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2002,2002,1000 USD,0,X,Figure from international organizations,Estimated data using trading partners database
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2003,2003,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2004,2004,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2005,2005,1000 USD,9,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2006,2006,1000 USD,0,X,Figure from international organizations,Estimated data using trading partners database
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2007,2007,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2008,2008,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2009,2009,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2010,2010,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2011,2011,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2012,2012,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2013,2013,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2015,2015,1000 USD,5,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2016,2016,1000 USD,12,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1610,"Coffee, green",2017,2017,1000 USD,9,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1232,Cucumbers and gherkins,2000,2000,1000 USD,1,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1232,Cucumbers and gherkins,2001,2001,1000 USD,0,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1232,Cucumbers and gherkins,2002,2002,1000 USD,0,A,Official figure,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1232,Cucumbers and gherkins,2003,2003,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1232,Cucumbers and gherkins,2004,2004,1000 USD,0,E,Estimated value,
TCL,Crops and livestock products,32,Argentina,5922,Export value,1232,Cucumbers and gherkins,2005,2005,1000 USD,2,A,Official figure,
